Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000113578	3207.2271533591	2.64797737604245	0.231097270462947	11.4582806224317	2.13715310685811e-30	4.05764382355383e-26	FGF1
ENSG00000168209	7523.39433890022	-3.19749783938203	0.280450942869607	-11.4012732731965	4.12048116126309e-30	4.05764382355383e-26	DDIT4
ENSG00000170961	345.810326741552	2.36222807008364	0.211708339832493	11.1579358279068	6.54945917487643e-29	4.29971994830637e-25	HAS2
ENSG00000112562	37185.565409207	2.56081378766709	0.250381902031095	10.2276313379433	1.49122067478229e-24	7.34239779745928e-21	SMOC2
ENSG00000116717	798.553663086681	-2.03687675571039	0.211386545818188	-9.6357918514941	5.64550323399577e-22	2.11584662913435e-18	GADD45A
ENSG00000147872	527.686657998808	-1.34365550389687	0.139701036561819	-9.61807826889168	6.70725067820464e-22	2.11584662913435e-18	PLIN2
ENSG00000265972	15590.3018076585	-1.99840257441737	0.208030373031301	-9.60630193225047	7.52014541961942e-22	2.11584662913435e-18	TXNIP
ENSG00000099860	2896.74363756585	-2.60494573421004	0.273307740779303	-9.53118168838674	1.55502934688852e-21	3.82828787337118e-18	GADD45B
ENSG00000188487	449.179425327088	2.54582034105801	0.276330956458524	9.21293934521636	3.17314329254564e-20	6.94389523852071e-17	INSC
ENSG00000152952	12334.848139226	1.45632339116274	0.159656000956939	9.12163265041023	7.40009869331781e-20	1.45744943764894e-16	PLOD2
ENSG00000137054	334.806443110305	-1.21236154936472	0.134466982960823	-9.01605377520773	1.94986720846539e-19	3.49114860642963e-16	POLR1E
ENSG00000102359	3970.41561982714	1.66717965803114	0.188450574527662	8.84677407967478	9.00855068053812e-19	1.47852838044332e-15	SRPX2
ENSG00000165507	4848.4935753423	-2.45103110469663	0.277891210186212	-8.82011022606371	1.14347103154006e-18	1.73235861278319e-15	C10orf10
ENSG00000021852	47.0599455358086	3.34738160690987	0.380454728306657	8.79837036540072	1.3881723877747e-18	1.95286108408734e-15	C8B
ENSG00000120659	495.578630003605	2.59146485043446	0.297290897286763	8.71693305811099	2.85839029930246e-18	3.75306646298413e-15	TNFSF11
ENSG00000168003	1114.46813727486	-1.15677483128064	0.133667368645424	-8.65413034612194	4.96684203236855e-18	6.11387211421867e-15	SLC3A2
ENSG00000187957	454.735223018418	2.75846737649982	0.319506612062487	8.63352203791117	5.94911879918619e-18	6.89222910293953e-15	DNER
ENSG00000106819	25052.8207601708	2.31240559062411	0.273312655037028	8.46066052196093	2.65867308575493e-17	2.90903146799685e-14	ASPN
ENSG00000183196	2192.38553628856	1.54494299449286	0.184079400886955	8.39280759850815	4.74668057848327e-17	4.92030915753831e-14	CHST6
ENSG00000165572	272.142552564999	1.09354269768175	0.131118246860694	8.34012598447549	7.42114261847615e-17	7.30797019354439e-14	KBTBD6
ENSG00000011201	3166.56752707732	2.14980112839606	0.258127001576151	8.32846279261427	8.18988017652563e-17	7.68093762269868e-14	KAL1
ENSG00000134198	3094.18844554923	1.9665842372918	0.236574334412273	8.31275396875756	9.35062521990712e-17	8.3709347139123e-14	TSPAN2
ENSG00000188488	19473.9315933086	2.09547195193247	0.253034669952176	8.28136299396644	1.21773377633108e-16	1.04275072716699e-13	SERPINA5
ENSG00000135821	7833.50362134573	-1.99400463895694	0.241482358582076	-8.25735118153243	1.48940725602368e-16	1.22224482947444e-13	GLUL
ENSG00000180198	514.074285910407	-1.31142614557264	0.159148391232846	-8.24027271286656	1.71818569650457e-16	1.3535866917063e-13	RCC1
ENSG00000166509	36908.2952197438	2.8233536965924	0.343118308332229	8.22851368764227	1.89550646775512e-16	1.4358461493245e-13	CLEC3A
ENSG00000004799	1594.25703445192	-2.64017272216125	0.322057254097133	-8.19783652929294	2.44751870023822e-16	1.78532891856266e-13	PDK4
ENSG00000189058	27343.8957394306	-2.70549600056888	0.330366212789162	-8.1893846762578	2.6256507858049e-16	1.8468640080867e-13	APOD
ENSG00000136938	2037.26257360975	-1.01547738638467	0.124264815670898	-8.17188180662536	3.03615910286463e-16	2.06197081141099e-13	ANP32B
ENSG00000197894	1485.44457308799	-0.847690258471662	0.103800883797371	-8.1665032845619	3.1745676187489e-16	2.08410364170865e-13	ADH5
ENSG00000243056	91.9453127374902	-1.72747343706445	0.21358360109002	-8.08804340898983	6.06307988208801e-16	3.85201155734591e-13	EIF4EBP3
ENSG00000181938	163.326750568826	1.39933443853101	0.174242908470978	8.03094054622074	9.67282226720809e-16	5.77291619856555e-13	GINS3
ENSG00000221869	3668.13088550048	-1.68415118641316	0.20967832030958	-8.03207114558429	9.58407626839733e-16	5.77291619856555e-13	CEBPD
ENSG00000125148	24635.4576806617	-2.24808891663267	0.281438273012945	-7.98785784380244	1.37303645350256e-15	7.95351557403909e-13	MT2A
ENSG00000205364	1125.59083387426	-2.23226652782262	0.281108566370897	-7.94094095616195	2.00653180495445e-15	1.12910411138794e-12	MT1M
ENSG00000275993	180.781166425658	-2.46936877714037	0.312120303735451	-7.91159289410848	2.54116216157657e-15	1.39022746589585e-12	CH507-42P11.8
ENSG00000173221	1301.0881721362	-1.96003795486604	0.24877633185261	-7.87871555252001	3.3076350547636e-15	1.76064520009646e-12	GLRX
ENSG00000169715	7742.20639052554	-2.36369750581242	0.301486196403045	-7.84015166867701	4.5000256387362e-15	2.33231591986604e-12	MT1E
ENSG00000089157	28814.4351603284	-0.968932503638453	0.124814362482678	-7.76298884491696	8.295091107182e-15	4.18902100912691e-12	RPLP0
